customer_id,country
CUST_00001,United States
CUST_00002,United States
CUST_00003,Australia
CUST_00005,United States
CUST_00006,United Kingdom
CUST_00007,United Kingdom
CUST_00008,Australia
CUST_00009,United Kingdom
CUST_00011,United States
CUST_00012,United States
CUST_00013,United Kingdom
CUST_00014,United States
CUST_00016,Australia
CUST_00017,Germany
CUST_00018,Germany
CUST_00019,United States
CUST_00021,Germany
CUST_00022,United Kingdom
CUST_00023,Germany
CUST_00024,United States
CUST_00025,Canada
CUST_00026,United States
CUST_00027,United Kingdom
CUST_00028,United States
CUST_00030,United States
CUST_00031,France
CUST_00032,United Kingdom
CUST_00033,United States
CUST_00034,United States
CUST_00035,Germany
CUST_00037,Germany
CUST_00038,United States
CUST_00039,France
CUST_00040,France
CUST_00041,France
CUST_00043,United Kingdom
CUST_00044,United Kingdom
CUST_00045,United States
CUST_00046,United States
CUST_00047,France
CUST_00048,United Kingdom
CUST_00049,Germany
CUST_00050,United States
CUST_00051,United States
CUST_00052,United Kingdom
CUST_00053,United States
CUST_00054,Australia
CUST_00055,United States
CUST_00056,France
CUST_00057,United States
CUST_00058,United Kingdom
CUST_00059,United States
CUST_00061,Germany
CUST_00062,United States
CUST_00063,United Kingdom
CUST_00064,Germany
CUST_00065,United States
CUST_00066,United States
CUST_00067,United Kingdom
CUST_00068,United Kingdom
CUST_00069,France
CUST_00070,France
CUST_00071,Germany
CUST_00072,United States
CUST_00074,United States
CUST_00075,United Kingdom
CUST_00076,United Kingdom
CUST_00077,Canada
CUST_00079,United Kingdom
CUST_00080,Germany
CUST_00081,Germany
CUST_00082,Australia
CUST_00083,United States
CUST_00085,Germany
CUST_00086,United Kingdom
CUST_00087,United States
CUST_00088,United States
CUST_00089,United States
CUST_00090,United States
CUST_00091,France
CUST_00092,United States
CUST_00093,United States
CUST_00094,France
CUST_00095,United States
CUST_00096,United States
CUST_00097,United States
CUST_00098,France
CUST_00099,France
CUST_00100,Australia
CUST_00101,Australia
CUST_00102,France
CUST_00103,Australia
CUST_00104,United States
CUST_00105,Australia
CUST_00106,United States
CUST_00107,United Kingdom
CUST_00108,United Kingdom
CUST_00109,United States
CUST_00110,France
CUST_00111,United States
CUST_00112,United States
