event_id,session_id,customer_id,timestamp,event_type,product_id,product_name,device
EVT_00000001,SESS_0000001,CUST_00907,2024-05-28 01:39:14,view,PROD_0025,,Desktop
EVT_00000002,SESS_0000001,CUST_00907,2024-05-28 01:38:35,add_to_cart,PROD_0005,,Desktop
EVT_00000003,SESS_0000001,CUST_00907,2024-05-28 01:40:13,add_to_cart,PROD_0046,,Desktop
EVT_00000004,SESS_0000001,CUST_00907,2024-05-28 01:50:48,view,PROD_0020,,Desktop
EVT_00000005,SESS_0000001,CUST_00907,2024-05-28 01:39:02,add_to_cart,PROD_0013,,Desktop
EVT_00000006,SESS_0000002,CUST_00673,2024-01-11 03:33:46,add_to_cart,PROD_0026,,Desktop
EVT_00000007,SESS_0000002,CUST_00673,2024-01-11 03:27:36,add_to_cart,PROD_0027,,Desktop
EVT_00000008,SESS_0000003,CUST_01017,2024-04-29 14:42:23,view,PROD_0019,,Desktop
EVT_00000009,SESS_0000003,CUST_01017,2024-04-29 14:34:58,view,PROD_0036,,Desktop
EVT_00000010,SESS_0000003,CUST_01017,2024-04-29 14:48:14,add_to_cart,PROD_0021,,Desktop
EVT_00000011,SESS_0000003,CUST_01017,2024-04-29 14:58:11,search,PROD_0007,,Desktop
EVT_00000012,SESS_0000003,CUST_01017,2024-04-29 14:46:47,view,PROD_0029,,Desktop
EVT_00000013,SESS_0000003,CUST_01017,2024-04-29 14:55:09,view,PROD_0005,,Desktop
EVT_00000014,SESS_0000003,CUST_01017,2024-04-29 14:56:08,search,PROD_0040,,Desktop
EVT_00000015,SESS_0000003,CUST_01017,2024-04-29 14:52:41,add_to_cart,PROD_0024,,Desktop
EVT_00000016,SESS_0000004,CUST_01438,2024-03-07 05:36:46,add_to_cart,PROD_0045,,Desktop
EVT_00000017,SESS_0000005,CUST_00177,2024-03-02 16:28:07,view,PROD_0048,,Desktop
EVT_00000018,SESS_0000005,CUST_00177,2024-03-02 16:32:07,add_to_cart,PROD_0041,,Desktop
EVT_00000019,SESS_0000005,CUST_00177,2024-03-02 16:38:38,view,PROD_0028,,Desktop
EVT_00000020,SESS_0000005,CUST_00177,2024-03-02 16:52:21,view,PROD_0030,,Desktop
EVT_00000021,SESS_0000005,CUST_00177,2024-03-02 16:29:20,view,PROD_0039,,Desktop
EVT_00000022,SESS_0000005,CUST_00177,2024-03-02 16:44:22,view,PROD_0017,,Desktop
EVT_00000023,SESS_0000005,CUST_00177,2024-03-02 16:41:04,search,PROD_0025,,Desktop
EVT_00000024,SESS_0000005,CUST_00177,2024-03-02 16:48:06,view,PROD_0042,,Desktop
EVT_00000025,SESS_0000006,CUST_00831,2024-12-01 20:20:23,view,PROD_0002,,Desktop
EVT_00000026,SESS_0000006,CUST_00831,2024-12-01 20:29:41,purchase,PROD_0010,,Desktop
EVT_00000027,SESS_0000006,CUST_00831,2024-12-01 20:09:59,view,PROD_0004,,Desktop
EVT_00000028,SESS_0000006,CUST_00831,2024-12-01 20:14:16,view,PROD_0008,,Desktop
EVT_00000029,SESS_0000006,CUST_00831,2024-12-01 20:17:32,add_to_cart,PROD_0030,,Desktop
EVT_00000030,SESS_0000006,CUST_00831,2024-12-01 20:26:50,view,PROD_0038,,Desktop
EVT_00000031,SESS_0000006,CUST_00831,2024-12-01 20:25:03,view,PROD_0017,,Desktop
EVT_00000032,SESS_0000006,CUST_00831,2024-12-01 20:13:51,view,PROD_0001,,Desktop
EVT_00000033,SESS_0000006,CUST_00831,2024-12-01 20:07:48,add_to_cart,PROD_0007,,Desktop
EVT_00000034,SESS_0000007,CUST_01552,2024-10-17 17:07:38,view,PROD_0029,,Desktop
EVT_00000035,SESS_0000007,CUST_01552,2024-10-17 17:25:51,view,PROD_0046,,Desktop
EVT_00000036,SESS_0000007,CUST_01552,2024-10-17 17:28:40,view,PROD_0024,,Desktop
EVT_00000037,SESS_0000007,CUST_01552,2024-10-17 17:21:03,add_to_cart,PROD_0043,,Desktop
EVT_00000038,SESS_0000007,CUST_01552,2024-10-17 17:31:53,add_to_cart,PROD_0016,,Desktop
EVT_00000039,SESS_0000007,CUST_01552,2024-10-17 17:16:52,view,PROD_0032,,Desktop
EVT_00000040,SESS_0000007,CUST_01552,2024-10-17 17:28:53,view,PROD_0050,,Desktop
EVT_00000041,SESS_0000007,CUST_01552,2024-10-17 17:14:13,view,PROD_0037,,Desktop
EVT_00000042,SESS_0000007,CUST_01552,2024-10-17 17:10:43,view,PROD_0014,,Desktop
EVT_00000043,SESS_0000008,CUST_02099,2024-07-31 19:22:05,view,PROD_0050,,Desktop
EVT_00000044,SESS_0000008,CUST_02099,2024-07-31 18:57:48,view,PROD_0027,,Desktop
EVT_00000045,SESS_0000008,CUST_02099,2024-07-31 19:00:38,search,PROD_0017,,Desktop
EVT_00000046,SESS_0000008,CUST_02099,2024-07-31 19:14:26,add_to_cart,PROD_0015,,Desktop
EVT_00000047,SESS_0000008,CUST_02099,2024-07-31 19:06:18,view,PROD_0005,,Desktop
EVT_00000048,SESS_0000008,CUST_02099,2024-07-31 19:01:35,purchase,PROD_0048,,Desktop
EVT_00000049,SESS_0000009,CUST_00944,2024-04-22 10:35:27,view,PROD_0049,,Desktop
EVT_00000050,SESS_0000009,CUST_00944,2024-04-22 10:25:01,view,PROD_0038,,Desktop
EVT_00000051,SESS_0000009,CUST_00944,2024-04-22 10:22:28,view,PROD_0042,,Desktop
EVT_00000052,SESS_0000009,CUST_00944,2024-04-22 10:29:07,view,PROD_0022,,Desktop
EVT_00000053,SESS_0000009,CUST_00944,2024-04-22 10:33:01,add_to_cart,PROD_0020,,Desktop
EVT_00000054,SESS_0000010,CUST_02427,2024-09-24 14:23:00,search,PROD_0049,,Desktop
EVT_00000055,SESS_0000010,CUST_02427,2024-09-24 14:32:02,view,PROD_0002,,Desktop
EVT_00000056,SESS_0000010,CUST_02427,2024-09-24 14:31:37,view,PROD_0032,,Desktop
EVT_00000057,SESS_0000010,CUST_02427,2024-09-24 14:27:57,view,PROD_0039,,Desktop
EVT_00000058,SESS_0000010,CUST_02427,2024-09-24 14:02:43,view,PROD_0015,,Desktop
EVT_00000059,SESS_0000010,CUST_02427,2024-09-24 14:15:52,add_to_cart,PROD_0046,,Desktop
EVT_00000060,SESS_0000010,CUST_02427,2024-09-24 14:16:42,add_to_cart,PROD_0026,,Desktop
EVT_00000061,SESS_0000010,CUST_02427,2024-09-24 14:28:10,view,PROD_0037,,Desktop
EVT_00000062,SESS_0000011,CUST_02085,2024-06-07 09:01:35,purchase,PROD_0008,,Desktop
EVT_00000063,SESS_0000011,CUST_02085,2024-06-07 09:11:45,search,PROD_0027,,Desktop
